Application rate	PFT	year	mean.10	min.10	max.10	mean.10_20	min.10_20	max.10_20	mean.20_30	min.20_30	max.20_30	mean.30_40	min.30_40	max.30_40	mean.40_50	min.40_50	max.40_50	mean.50	min.50	max.50
0	LSCTcl3p	1	30	30	5	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0
90	LSCTcl3p	1	30	30	5	0	0	5	0	0	19	0	0	1	0	0	0	0	0	0
260	LSCTcl3p	1	30	30	5	0	0	24	0	0	1	0	0	0	0	0	0	0	0	0
0	LSCTcl3p	2	30	30	0	0	0	0	0	0	1	0	0	5	0	0	8	0	0	16
90	LSCTcl3p	2	22	30	0	3	0	0	5	0	1	0	0	8	0	0	9	0	0	12
260	LSCTcl3p	2	25	30	3	3	0	8	2	0	4	0	0	8	0	0	2	0	0	5
0	LSCTcl3p	3	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	3	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
260	LSCTcl3p	3	26	30	0	4	0	0	0	0	1	0	0	5	0	0	8	0	0	16
0	LSCTcl3p	4	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	4	29	30	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30
260	LSCTcl3p	4	26	30	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	LSCTcl3p	5	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	5	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
260	LSCTcl3p	5	22	30	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	LSCTcl3p	6	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	6	29	30	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30
260	LSCTcl3p	6	25	30	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	LSCTcl3p	7	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	7	19	30	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	30
260	LSCTcl3p	7	26	30	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	30
0	LSCTcl3p	8	30	30	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	29
90	LSCTcl3p	8	27	30	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	29
260	LSCTcl3p	8	23	30	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	29
0	LSCTcl3p	9	30	30	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	29
90	LSCTcl3p	9	21	30	0	8	0	0	0	0	0	1	0	0	0	0	1	0	0	29
260	LSCTcl3p	9	5	30	0	7	0	0	13	0	0	1	0	0	4	0	1	0	0	29
0	LSCTcl3p	10	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	10	1	30	0	13	0	0	12	0	0	4	0	0	0	0	0	0	0	30
260	LSCTcl3p	10	1	25	0	2	0	0	6	2	0	16	2	0	0	1	0	5	0	30
0	LSCTcl3p	11	30	30	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	28
90	LSCTcl3p	11	0	30	0	1	0	0	10	0	0	14	0	0	5	0	2	0	0	28
260	LSCTcl3p	11	23	30	0	2	0	0	0	0	0	4	0	0	1	0	2	0	0	28
0	LSCTcl3p	12	30	30	0	0	0	0	0	0	1	0	0	3	0	0	3	0	0	23
90	LSCTcl3p	12	0	30	0	4	0	0	2	0	1	14	0	3	10	0	3	0	0	23
260	LSCTcl3p	12	25	30	0	0	0	0	0	0	1	5	0	3	0	0	3	0	0	23
0	LSCTcl3p	13	30	30	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	21
90	LSCTcl3p	13	0	28	0	0	1	0	10	1	0	9	0	0	8	0	9	3	0	21
260	LSCTcl3p	13	25	30	0	1	0	0	0	0	0	4	0	0	0	0	9	0	0	21
0	LSCTcl3p	14	30	30	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	24
90	LSCTcl3p	14	0	26	0	13	0	0	8	3	0	3	1	1	1	0	5	5	0	24
260	LSCTcl3p	14	25	30	0	0	0	0	0	0	0	0	0	1	5	0	5	0	0	24
0	LSCTcl3p	15	30	30	0	0	0	0	0	0	1	0	0	3	0	0	2	0	0	24
90	LSCTcl3p	15	0	30	0	7	0	0	9	0	1	10	0	3	4	0	2	0	0	24
260	LSCTcl3p	15	25	30	0	0	0	0	0	0	1	5	0	3	0	0	2	0	0	24
0	LSCTcl3p	16	30	30	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	23
90	LSCTcl3p	16	5	30	0	4	0	0	13	0	0	7	0	3	1	0	4	0	0	23
260	LSCTcl3p	16	26	30	0	3	0	0	1	0	0	0	0	3	0	0	4	0	0	23
0	LSCTcl3p	17	30	30	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	22
90	LSCTcl3p	17	5	30	0	5	0	0	10	0	0	8	0	4	2	0	4	0	0	22
260	LSCTcl3p	17	29	30	0	1	0	0	0	0	0	0	0	4	0	0	4	0	0	22
0	LSCTcl3p	18	30	30	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	21
90	LSCTcl3p	18	0	27	0	6	2	0	10	1	0	6	0	1	5	0	8	3	0	21
260	LSCTcl3p	18	25	30	0	1	0	0	4	0	0	0	0	1	0	0	8	0	0	21
0	LSCTcl3p	19	30	30	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	22
90	LSCTcl3p	19	0	18	0	0	8	0	7	3	0	12	1	4	7	0	4	4	0	22
260	LSCTcl3p	19	26	30	0	4	0	0	0	0	0	0	0	4	0	0	4	0	0	22
0	LSCTcl3p	20	30	30	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	24
90	LSCTcl3p	20	0	18	0	0	0	0	2	6	0	15	3	0	5	3	6	8	0	24
260	LSCTcl3p	20	25	30	0	0	0	0	1	0	0	4	0	0	0	0	6	0	0	24
0	LSCTcl3p	21	30	30	0	0	0	0	0	0	3	0	0	3	0	0	3	0	0	21
90	LSCTcl3p	21	13	30	0	7	0	0	8	0	3	2	0	3	0	0	3	0	0	21
260	LSCTcl3p	21	30	30	0	0	0	0	0	0	3	0	0	3	0	0	3	0	0	21
0	LSCTcl3p	22	30	30	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	25
90	LSCTcl3p	22	17	30	0	9	0	0	4	0	0	0	0	1	0	0	4	0	0	25
260	LSCTcl3p	22	30	30	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	25
0	LSCTcl3p	23	30	30	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	21
90	LSCTcl3p	23	21	30	0	5	0	0	4	0	0	0	0	1	0	0	8	0	0	21
260	LSCTcl3p	23	29	30	0	0	0	0	1	0	0	0	0	1	0	0	8	0	0	21
0	LSCTcl3p	24	30	30	0	0	0	0	0	0	1	0	0	2	0	0	7	0	0	20
90	LSCTcl3p	24	29	30	0	1	0	0	0	0	1	0	0	2	0	0	7	0	0	20
260	LSCTcl3p	24	30	30	0	0	0	0	0	0	1	0	0	2	0	0	7	0	0	20
0	LSCTcl3p	25	30	30	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	23
90	LSCTcl3p	25	15	30	0	13	0	0	2	0	0	0	0	2	0	0	5	0	0	23
260	LSCTcl3p	25	28	30	0	2	0	0	0	0	0	0	0	2	0	0	5	0	0	23
0	MECIcl3p	1	30	30	5	0	0	2	0	0	19	0	0	4	0	0	0	0	0	0
90	MECIcl3p	1	23	30	5	7	0	0	0	0	2	0	0	22	0	0	1	0	0	0
260	MECIcl3p	1	6	30	5	24	0	0	0	0	0	0	0	4	0	0	21	0	0	0
0	MECIcl3p	2	30	30	0	0	0	0	0	0	2	0	0	9	0	0	6	0	0	13
90	MECIcl3p	2	6	30	0	24	0	0	0	0	0	0	0	5	0	0	7	0	0	18
260	MECIcl3p	2	0	30	0	10	0	0	20	0	0	0	0	1	0	0	6	0	0	23
0	MECIcl3p	3	30	30	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	24
90	MECIcl3p	3	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
260	MECIcl3p	3	1	30	0	19	0	0	10	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3p	4	30	30	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	24
90	MECIcl3p	4	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
260	MECIcl3p	4	25	30	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3p	5	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	5	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
260	MECIcl3p	5	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3p	6	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	6	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
260	MECIcl3p	6	16	30	0	13	0	0	1	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3p	7	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	7	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
260	MECIcl3p	7	3	30	0	22	0	0	5	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3p	8	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	8	24	30	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	30
260	MECIcl3p	8	1	30	0	18	0	0	11	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3p	9	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	9	19	30	0	10	0	0	1	0	0	0	0	0	0	0	0	0	0	30
260	MECIcl3p	9	8	30	0	10	0	0	12	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3p	10	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	10	3	30	0	16	0	0	8	0	0	3	0	0	0	0	0	0	0	30
260	MECIcl3p	10	11	30	0	1	0	0	12	0	0	1	0	0	0	0	0	5	0	30
0	MECIcl3p	11	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	11	0	30	0	0	0	0	6	0	0	24	0	0	0	0	0	0	0	30
260	MECIcl3p	11	7	30	0	16	0	0	2	0	0	0	0	0	1	0	0	4	0	30
0	MECIcl3p	12	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	12	3	30	0	5	0	0	16	0	0	3	0	0	3	0	0	0	0	30
260	MECIcl3p	12	23	30	0	0	0	0	2	0	0	0	0	0	1	0	0	4	0	30
0	MECIcl3p	13	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	13	14	30	0	15	0	0	1	0	0	0	0	0	0	0	0	0	0	30
