Time	scenario	period	year	week	mean.effects.Inds	mean.effects.abovemass	mean.effects.NPFT	mean.effects.eveness	mean.effects.shannon	mean.effects.simpson	mean.effects.simpsoninv	min.effects.Inds	min.effects.abovemass	min.effects.NPFT	min.effects.eveness	min.effects.shannon	min.effects.simpson	min.effects.simpsoninv	max.effects.Inds	max.effects.abovemass	max.effects.NPFT	max.effects.eveness	max.effects.shannon	max.effects.simpson	max.effects.simpsoninv
6	0	before	1	6	1	1	1	1.00000000000001	1	1	0.999999999999993	1.0549359387962	1.01792299884795	1	1.00075047642224	1.00119961696636	1.00011409798254	1.01114559899264	0.929117891049866	0.977034205772968	1	0.998835319808039	0.998138289122381	0.999818974204381	0.982658550529208
6	1	before	1	6	1.01189049681998	1.00227365054522	1	0.999974436462084	0.999959137352079	0.999992612162236	0.99927043293008	1.0397271637939	1.02301891071632	1	1.00076914231623	1.00122945391055	1.00010784446637	1.01052450795538	0.94017881832427	0.966653125336846	1	0.998862424172069	0.9981816147406	0.999824362064646	0.983163941606644
6	2	before	1	6	1.01133745045626	1.00275177683224	1	1.00021877031612	1.00034969863831	1.00003144698006	1.00306509405729	1.0618490183427	1.02565214899035	1	1.00088058770091	1.00140759644817	1.00013294159602	1.01302183857127	0.958152825145175	0.97494303606999	1	0.998797665326509	0.998078099416796	0.999816837646158	0.98245828425672
7	0	before	1	7	1	1	1	1	1	1	1	1.0209530246705	1.0162160606233	1	1.00036493760847	1.00058295834773	1.00005513359152	1.00544608824021	0.972287935113214	0.970827059527424	1	0.99878759125829	0.998063274980625	0.99982583658472	0.983055937035775
7	1	before	1	7	1.00405542412977	1.0030437525001	1	0.999951784529208	0.999922979680539	0.999991574469905	0.999151565928017	1.02602230483271	1.02077706326258	1	1.00029467031658	1.00047071202554	1.00004210703442	1.00414624965805	0.974315647178101	0.977677130358322	1	0.999346241290933	0.998955673276738	0.999900143744236	0.990199626146694
7	2	before	1	7	1.00256843528219	1.00070585313823	1	1.00010624032449	1.00016971033565	1.00001547006852	1.00151349755993	1.03109158499493	1.01568320118648	1	1.00041250155174	1.0006589379046	1.00005968232406	1.00590078638316	0.970260223048327	0.975281832954221	1	0.999335412429673	0.998938375045695	0.999905061864129	0.990676179241926
8	0	before	1	8	1	1	1	0.999999999999996	1	1	0.999999999999998	1.02668270012025	1.01348321838094	1	1.00039606031454	1.00063271465439	1.00006074227793	1.00599944175284	0.977932334492509	0.969972218348762	1	0.999054889148869	0.998490165604643	0.999869169156909	0.987231026105371
8	1	before	1	8	1.00250251876889	1.00369492385968	1	0.999991138801434	0.999985844049555	0.999998409839566	0.999831049041087	1.02375767818259	1.01879784468734	1	1.00035074575168	1.00056032369037	1.00005160100218	1.00508734960494	0.979882349117618	0.984427258197733	1	0.999273829276869	0.998839927048376	0.999907879080004	0.9909656535364
8	2	before	1	8	0.997562481718613	1.00036803834845	1	0.9999435410479	0.999909805640576	0.999992815632624	0.999286713927257	1.02668270012025	1.01546833714124	1	1.00039224110761	1.00062661339127	1.00006114412168	1.00603957538153	0.969157268679515	0.982788248039731	1	0.999012570557993	0.998422560768667	0.999859324086726	0.98628577539079
9	0	before	1	9	1	1	1	1.00000000000001	1	1.00000000000001	1	1.0282383958926	1.00952536223353	1	1.00068417211549	1.00109345630875	1.00009582348988	1.00937511894688	0.975161312703809	0.975526138247131	1	0.998226518183325	0.997165589130249	0.999754795267287	0.976578103982445
