PFT	scenario	year	period	mean.effects.Inds	mean.effects.seedlings	mean.effects.seeds	mean.effects.cover	mean.effects.shootmass	min.effects.Inds	min.effects.seedlings	min.effects.seeds	min.effects.cover	min.effects.shootmass	max.effects.Inds	max.effects.seedlings	max.effects.seeds	max.effects.cover	max.effects.shootmass
MECIcl3plb	0	1	before	1	1	1	1	1	1.17411817925992	1.46610015568241	1.32075471698113	1.00341408681102	1.21870075297471	0.729165681927756	0.46875	0.377358490566038	0.995048041820877	0.712427199384043
MECIcl3plb	1	1	before	0.988320378487166	0.932237226840248	0.968824520344701	0.999991742160954	1.00018242236315	1.16675012435749	1.38284250960307	1.32075471698113	1.00312033278085	1.21291595341143	0.719594594594595	0.461538461538462	0.377358490566038	0.9958429023512	0.739643149720039
MECIcl3plb	2	1	before	1.03737841152743	1.02211419888725	0.956498899628751	1.00033244229553	1.03107307746049	1.22689693707665	1.60714285714286	1.32075471698113	1.00372187728358	1.23383905424658	0.772822869359511	0.461538461538462	0.377358490566038	0.995928292479642	0.766188987508858
MECIcl3plb	0	2	before	1	1	1	1	1	1.48514851485149	1.67662977457871	1.41719382878988	1.00795337560839	1.53265784042131	0.348837209302326	0.30989829550943	0.346789241341647	0.983871611236957	0.21542180851292
MECIcl3plb	1	2	before	1.07061356293758	1.06560312149502	1.05181220883844	1.00144784727368	1.09584947903422	1.63323398666397	1.875	1.51192734550328	1.00916719079781	1.65340031298756	0.484410124349088	0.452261306532663	0.431438583716379	0.990309206639303	0.442091483675415
MECIcl3plb	2	2	before	0.993391430209276	1.00147385747639	1.02012088116308	1.00025430634147	1.00640738444289	1.48514851485149	1.79221551729318	1.29643754069389	1.00788700092398	1.52258836154521	0.408163265306122	0.430622009569378	0.503457423196806	0.988451285394274	0.372101591460369
MECIcl3plb	0	3	before	1	1	1	1	1	1.71958288742802	1.66669324916475	1.59984120682811	1.01126722432556	1.71163558145412	0.133308773746465	0.205441631960526	0.0396982929734021	0.985669761061591	0.000520611093577189
MECIcl3plb	1	3	before	1.05169973844602	1.02518779639439	1.06863502649625	1.0005649165581	1.03896642181102	1.85483870967742	1.95194575471698	1.92139737991266	1.01238840253892	1.85976052720572	0.222222222222222	0.197368421052632	0.251974671060319	0.985014871941758	0.177920947154132
MECIcl3plb	2	3	before	1.04787747328735	1.02842281733678	1.01610736568935	1.00060247872266	1.0338429004604	1.61290322580645	1.81985395873047	1.89328128624684	1.00996996379916	1.6668597657878	0.392359997434088	0.357169117647059	0.219418436776749	0.988677374192637	0.331458714370041
MECIcl3plb	0	4	before	1	1	1	1	1	1.69080713190184	1.81818181818182	1.99161706657536	1.01130216474925	1.78896918587415	0.132455540355677	0.179747382057649	0.0292841648590022	0.985704510237258	0.0244036245220426
