Application rate	year	mean.10	min.10	max.10	mean.10_20	min.10_20	max.10_20	mean.20_30	min.20_30	max.20_30	mean.30_40	min.30_40	max.30_40	mean.40_50	min.40_50	max.40_50	mean.50	min.50	max.50
0	1	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	1	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	1	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	2	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	2	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	3	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	3	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	3	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	4	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	4	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	4	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	5	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	5	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	5	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	6	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	6	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	6	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	7	30	30	28	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
90	7	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	7	30	30	14	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
0	8	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	8	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	8	30	30	6	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0
0	9	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	9	30	30	29	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
260	9	30	30	15	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
0	10	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	10	30	30	25	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
260	10	30	30	8	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0
0	11	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	11	30	30	19	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
260	11	30	30	4	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0
0	12	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	12	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	12	30	30	20	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
0	13	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	13	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	13	30	30	25	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
0	14	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	14	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	14	30	30	28	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0	15	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	15	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	15	30	30	25	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
0	16	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	16	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	16	30	30	17	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
0	17	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	17	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	17	30	30	16	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
0	18	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	18	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	18	30	30	21	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
0	19	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	19	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	19	30	30	14	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
0	20	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	20	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	20	30	30	15	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
0	21	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	21	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	21	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	22	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	22	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	22	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	23	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	23	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	23	30	30	29	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0	24	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	24	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	24	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	25	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	25	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	25	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
