Application rate	year	mean.10	min.10	max.10	mean.10_20	min.10_20	max.10_20	mean.20_30	min.20_30	max.20_30	mean.30_40	min.30_40	max.30_40	mean.40_50	min.40_50	max.40_50	mean.50	min.50	max.50
0	1	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	1	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	1	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	30	30	10	0	0	10	0	0	7	0	0	2	0	0	1	0	0	0
90	2	30	30	15	0	0	10	0	0	3	0	0	0	0	0	1	0	0	1
260	2	30	30	13	0	0	6	0	0	7	0	0	3	0	0	1	0	0	0
0	3	30	30	10	0	0	12	0	0	4	0	0	4	0	0	0	0	0	0
90	3	30	30	9	0	0	13	0	0	4	0	0	3	0	0	0	0	0	1
260	3	30	30	17	0	0	4	0	0	5	0	0	3	0	0	1	0	0	0
0	4	30	30	22	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0
90	4	30	30	18	0	0	4	0	0	2	0	0	2	0	0	3	0	0	1
260	4	30	30	17	0	0	6	0	0	3	0	0	3	0	0	1	0	0	0
0	5	30	30	6	0	0	14	0	0	5	0	0	3	0	0	2	0	0	0
90	5	30	30	14	0	0	10	0	0	4	0	0	0	0	0	1	0	0	1
260	5	30	30	11	0	0	7	0	0	4	0	0	6	0	0	2	0	0	0
0	6	30	30	5	0	0	13	0	0	6	0	0	4	0	0	2	0	0	0
90	6	30	30	18	0	0	7	0	0	4	0	0	1	0	0	0	0	0	0
260	6	30	30	7	0	0	12	0	0	3	0	0	6	0	0	1	0	0	1
0	7	30	30	8	0	0	11	0	0	6	0	0	3	0	0	2	0	0	0
90	7	30	30	15	0	0	4	0	0	8	0	0	3	0	0	0	0	0	0
260	7	30	30	23	0	0	4	0	0	0	0	0	2	0	0	1	0	0	0
0	8	30	30	16	0	0	8	0	0	3	0	0	2	0	0	1	0	0	0
90	8	30	30	14	0	0	9	0	0	6	0	0	1	0	0	0	0	0	0
260	8	30	30	16	0	0	4	0	0	6	0	0	2	0	0	2	0	0	0
0	9	30	30	12	0	0	8	0	0	6	0	0	2	0	0	1	0	0	1
90	9	30	30	11	0	0	4	0	0	9	0	0	3	0	0	3	0	0	0
260	9	30	30	8	0	0	3	0	0	8	0	0	9	0	0	1	0	0	1
0	10	30	30	17	0	0	6	0	0	5	0	0	2	0	0	0	0	0	0
90	10	28	28	14	1	1	9	0	1	3	1	0	3	0	0	0	0	0	1
260	10	22	24	7	3	2	10	2	1	4	0	1	4	1	0	2	2	2	3
0	11	30	30	7	0	0	8	0	0	11	0	0	4	0	0	0	0	0	0
90	11	27	28	11	2	1	9	0	1	3	1	0	4	0	0	3	0	0	0
260	11	22	24	4	3	2	8	1	1	7	1	1	7	1	0	1	2	2	3
0	12	30	30	13	0	0	11	0	0	4	0	0	2	0	0	0	0	0	0
90	12	28	28	15	1	1	8	0	1	5	1	0	1	0	0	1	0	0	0
260	12	23	24	3	2	2	10	2	1	6	0	1	6	1	0	2	2	2	3
0	13	30	30	4	0	0	15	0	0	5	0	0	3	0	0	3	0	0	0
90	13	27	29	6	2	0	8	1	1	6	0	0	6	0	0	3	0	0	1
260	13	23	25	3	3	1	13	1	1	5	0	1	4	1	0	2	2	2	3
0	14	30	30	11	0	0	8	0	0	6	0	0	2	0	0	3	0	0	0
90	14	27	28	11	1	1	10	1	1	2	1	0	4	0	0	0	0	0	3
260	14	22	26	2	4	1	12	1	0	8	0	1	5	1	0	0	2	2	3
0	15	30	30	5	0	0	14	0	0	5	0	0	4	0	0	2	0	0	0
90	15	28	29	11	1	1	8	1	0	3	0	0	4	0	0	3	0	0	1
260	15	23	26	4	3	1	11	1	0	7	1	1	4	0	0	1	2	2	3
0	16	30	30	13	0	0	10	0	0	4	0	0	2	0	0	1	0	0	0
90	16	28	29	6	1	0	9	1	1	3	0	0	9	0	0	1	0	0	2
260	16	22	25	7	4	2	7	1	0	6	0	1	5	1	0	1	2	2	4
0	17	30	30	15	0	0	7	0	0	5	0	0	3	0	0	0	0	0	0
90	17	27	28	8	2	1	9	0	1	6	1	0	4	0	0	1	0	0	2
260	17	23	25	5	3	2	14	1	0	6	0	1	1	1	0	1	2	2	3
0	18	30	30	10	0	0	9	0	0	9	0	0	2	0	0	0	0	0	0
90	18	28	29	12	1	0	7	1	1	5	0	0	2	0	0	3	0	0	1
260	18	22	25	2	3	2	9	2	0	4	0	1	6	1	0	4	2	2	5
0	19	30	30	22	0	0	5	0	0	2	0	0	0	0	0	1	0	0	0
90	19	28	28	9	1	1	4	1	1	6	0	0	8	0	0	2	0	0	1
260	19	22	25	4	3	1	8	2	1	3	0	1	5	1	0	6	2	2	4
0	20	30	30	9	0	0	9	0	0	7	0	0	4	0	0	1	0	0	0
90	20	28	28	12	1	1	10	1	1	6	0	0	1	0	0	1	0	0	0
260	20	23	26	4	3	1	12	1	0	5	0	1	5	1	0	1	2	2	3
0	21	30	30	5	0	0	11	0	0	6	0	0	5	0	0	2	0	0	1
90	21	30	30	25	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1
260	21	30	30	16	0	0	9	0	0	3	0	0	0	0	0	2	0	0	0
0	22	30	30	12	0	0	7	0	0	3	0	0	6	0	0	1	0	0	1
90	22	30	30	11	0	0	7	0	0	5	0	0	5	0	0	1	0	0	1
260	22	30	30	13	0	0	9	0	0	6	0	0	2	0	0	0	0	0	0
0	23	30	30	14	0	0	8	0	0	4	0	0	2	0	0	1	0	0	1
90	23	30	30	19	0	0	1	0	0	3	0	0	3	0	0	3	0	0	1
260	23	30	30	12	0	0	9	0	0	5	0	0	1	0	0	1	0	0	2
0	24	30	30	13	0	0	9	0	0	5	0	0	1	0	0	2	0	0	0
90	24	30	30	12	0	0	10	0	0	4	0	0	3	0	0	0	0	0	1
260	24	30	30	20	0	0	5	0	0	3	0	0	2	0	0	0	0	0	0
0	25	30	30	7	0	0	10	0	0	8	0	0	3	0	0	1	0	0	1
90	25	30	30	13	0	0	6	0	0	7	0	0	1	0	0	2	0	0	1
260	25	30	30	20	0	0	4	0	0	3	0	0	3	0	0	0	0	0	0
