Application rate	PFT	year	mean.10	min.10	max.10	mean.10_20	min.10_20	max.10_20	mean.20_30	min.20_30	max.20_30	mean.30_40	min.30_40	max.30_40	mean.40_50	min.40_50	max.40_50	mean.50	min.50	max.50
0	LSCTcl3p	1	30	30	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0
90	LSCTcl3p	1	30	30	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0
260	LSCTcl3p	1	30	30	0	0	0	29	0	0	1	0	0	0	0	0	0	0	0	0
0	LSCTcl3p	2	30	30	0	0	0	0	0	0	0	0	0	3	0	0	5	0	0	22
90	LSCTcl3p	2	19	30	0	6	0	0	5	0	1	0	0	3	0	0	11	0	0	15
260	LSCTcl3p	2	21	30	5	5	0	3	4	0	6	0	0	5	0	0	2	0	0	9
0	LSCTcl3p	3	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	3	29	30	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30
260	LSCTcl3p	3	30	30	0	0	0	0	0	0	0	0	0	2	0	0	11	0	0	17
0	LSCTcl3p	4	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	4	26	30	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	30
260	LSCTcl3p	4	28	30	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	LSCTcl3p	5	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	5	28	30	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	30
260	LSCTcl3p	5	18	30	0	9	0	0	3	0	0	0	0	0	0	0	0	0	0	30
0	LSCTcl3p	6	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	6	29	30	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30
260	LSCTcl3p	6	26	30	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	30
0	LSCTcl3p	7	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	7	22	30	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	30
260	LSCTcl3p	7	24	30	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	30
0	LSCTcl3p	8	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	8	23	30	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	30
260	LSCTcl3p	8	13	30	0	16	0	0	1	0	0	0	0	0	0	0	0	0	0	30
0	LSCTcl3p	9	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	9	18	30	0	8	0	0	4	0	0	0	0	0	0	0	0	0	0	30
260	LSCTcl3p	9	5	30	0	3	0	0	4	0	0	9	0	0	6	0	0	3	0	30
0	LSCTcl3p	10	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	10	3	30	0	4	0	0	15	0	0	7	0	0	1	0	0	0	0	30
260	LSCTcl3p	10	0	24	0	1	3	0	1	1	0	1	0	0	7	1	0	20	1	30
0	LSCTcl3p	11	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	11	0	30	0	0	0	0	0	0	0	4	0	0	10	0	0	16	0	30
260	LSCTcl3p	11	21	30	0	4	0	0	2	0	0	0	0	0	1	0	0	2	0	30
0	LSCTcl3p	12	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	12	0	30	0	0	0	0	0	0	0	0	0	0	5	0	0	25	0	30
260	LSCTcl3p	12	24	30	0	2	0	0	1	0	0	0	0	0	1	0	0	2	0	30
0	LSCTcl3p	13	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	13	0	24	0	0	2	0	0	1	0	0	1	0	0	2	0	30	0	30
260	LSCTcl3p	13	27	30	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	30
0	LSCTcl3p	14	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	14	0	26	0	0	1	0	6	2	0	7	1	0	7	0	0	10	0	30
260	LSCTcl3p	14	24	28	0	1	0	0	1	1	0	0	0	0	1	1	0	3	0	30
0	LSCTcl3p	15	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	15	0	29	0	0	1	0	4	0	0	5	0	0	10	0	0	11	0	30
260	LSCTcl3p	15	24	30	0	2	0	0	2	0	0	0	0	0	1	0	0	1	0	30
0	LSCTcl3p	16	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	16	0	29	0	1	1	0	2	0	0	4	0	0	10	0	0	13	0	30
260	LSCTcl3p	16	29	30	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	30
0	LSCTcl3p	17	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	17	0	30	0	0	0	0	0	0	0	8	0	0	14	0	0	8	0	30
260	LSCTcl3p	17	28	30	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	30
0	LSCTcl3p	18	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	18	0	30	0	0	0	0	3	0	0	4	0	0	9	0	0	14	0	30
260	LSCTcl3p	18	28	30	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	30
0	LSCTcl3p	19	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	19	0	10	0	0	2	0	0	4	0	0	4	0	0	7	0	30	3	30
260	LSCTcl3p	19	26	30	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	30
0	LSCTcl3p	20	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	20	0	19	0	0	0	0	0	1	0	0	1	0	2	1	0	28	8	30
260	LSCTcl3p	20	26	30	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	30
0	LSCTcl3p	21	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	21	11	30	0	3	0	0	2	0	0	6	0	0	5	0	0	3	0	30
260	LSCTcl3p	21	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	LSCTcl3p	22	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	22	7	30	0	6	0	0	11	0	0	6	0	0	0	0	0	0	0	30
260	LSCTcl3p	22	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	LSCTcl3p	23	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	23	16	30	0	7	0	0	4	0	0	3	0	0	0	0	0	0	0	30
260	LSCTcl3p	23	29	30	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30
