Application rate	year	mean.10	min.10	max.10	mean.10_20	min.10_20	max.10_20	mean.20_30	min.20_30	max.20_30	mean.30_40	min.30_40	max.30_40	mean.40_50	min.40_50	max.40_50	mean.50	min.50	max.50
0	1	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	30	30	14	0	0	15	0	0	1	0	0	0	0	0	0	0	0	0
1	2	30	30	14	0	0	13	0	0	3	0	0	0	0	0	0	0	0	0
0	3	30	30	8	0	0	16	0	0	6	0	0	0	0	0	0	0	0	0
1	3	30	30	16	0	0	10	0	0	4	0	0	0	0	0	0	0	0	0
0	4	30	30	5	0	0	18	0	0	5	0	0	2	0	0	0	0	0	0
1	4	30	30	17	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
0	5	30	30	12	0	0	14	0	0	4	0	0	0	0	0	0	0	0	0
1	5	30	30	6	0	0	16	0	0	8	0	0	0	0	0	0	0	0	0
0	6	30	30	9	0	0	14	0	0	7	0	0	0	0	0	0	0	0	0
1	6	30	30	8	0	0	17	0	0	5	0	0	0	0	0	0	0	0	0
0	7	30	30	4	0	0	24	0	0	2	0	0	0	0	0	0	0	0	0
1	7	30	30	8	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0
0	8	30	30	11	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
1	8	30	30	7	0	0	18	0	0	5	0	0	0	0	0	0	0	0	0
0	9	30	30	8	0	0	18	0	0	4	0	0	0	0	0	0	0	0	0
1	9	30	30	8	0	0	19	0	0	3	0	0	0	0	0	0	0	0	0
0	10	30	30	8	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0
1	10	30	30	4	0	0	21	0	0	5	0	0	0	0	0	0	0	0	0
0	11	30	30	5	0	0	24	0	0	1	0	0	0	0	0	0	0	0	0
1	11	30	30	7	0	0	19	0	0	4	0	0	0	0	0	0	0	0	0
0	12	30	30	9	0	0	20	0	0	1	0	0	0	0	0	0	0	0	0
1	12	30	30	10	0	0	18	0	0	2	0	0	0	0	0	0	0	0	0
0	13	30	30	18	0	0	3	0	0	9	0	0	0	0	0	0	0	0	0
1	13	30	30	10	0	0	14	0	0	6	0	0	0	0	0	0	0	0	0
0	14	30	30	7	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0
1	14	30	30	13	0	0	11	0	0	6	0	0	0	0	0	0	0	0	0
0	15	30	30	21	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0
1	15	30	30	12	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
0	16	30	30	12	0	0	13	0	0	5	0	0	0	0	0	0	0	0	0
1	16	30	30	8	0	0	16	0	0	6	0	0	0	0	0	0	0	0	0
0	17	30	30	7	0	0	20	0	0	3	0	0	0	0	0	0	0	0	0
1	17	30	30	3	0	0	17	0	0	8	0	0	2	0	0	0	0	0	0
0	18	30	30	10	0	0	7	0	0	13	0	0	0	0	0	0	0	0	0
1	18	30	30	6	0	0	23	0	0	1	0	0	0	0	0	0	0	0	0
0	19	30	30	6	0	0	16	0	0	8	0	0	0	0	0	0	0	0	0
1	19	30	30	15	0	0	11	0	0	4	0	0	0	0	0	0	0	0	0
0	20	30	30	15	0	0	9	0	0	6	0	0	0	0	0	0	0	0	0
1	20	30	30	12	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
0	21	30	30	15	0	0	12	0	0	3	0	0	0	0	0	0	0	0	0
1	21	30	30	19	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
0	22	30	30	10	0	0	15	0	0	5	0	0	0	0	0	0	0	0	0
1	22	30	30	13	0	0	14	0	0	3	0	0	0	0	0	0	0	0	0
0	23	30	30	14	0	0	11	0	0	5	0	0	0	0	0	0	0	0	0
1	23	28	30	12	2	0	10	0	0	7	0	0	1	0	0	0	0	0	0
0	24	30	30	17	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
1	24	30	30	0	0	0	26	0	0	4	0	0	0	0	0	0	0	0	0
0	25	30	30	15	0	0	14	0	0	1	0	0	0	0	0	0	0	0	0
1	25	23	24	0	1	1	9	1	3	12	2	2	4	3	0	0	0	0	5
0	26	30	30	17	0	0	11	0	0	2	0	0	0	0	0	0	0	0	0
1	26	16	25	0	8	1	3	1	4	12	3	0	9	2	0	1	0	0	5
0	27	30	30	18	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
1	27	15	25	0	9	3	0	2	2	21	3	0	4	1	0	2	0	0	3
0	28	30	30	17	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
1	28	20	26	0	4	3	1	2	1	20	4	0	3	0	0	2	0	0	4
0	29	30	30	19	0	0	7	0	0	4	0	0	0	0	0	0	0	0	0
1	29	20	27	0	5	3	3	2	0	20	3	0	1	0	0	3	0	0	3
0	30	30	30	18	0	0	11	0	0	1	0	0	0	0	0	0	0	0	0
1	30	23	25	0	1	3	0	2	2	21	3	0	3	1	0	2	0	0	4
0	31	30	30	17	0	0	8	0	0	4	0	0	1	0	0	0	0	0	0
1	31	20	26	0	4	3	0	2	1	10	4	0	13	0	0	3	0	0	4
0	32	30	30	9	0	0	19	0	0	2	0	0	0	0	0	0	0	0	0
1	32	22	27	0	3	3	0	2	0	23	3	0	3	0	0	2	0	0	2
0	33	30	30	12	0	0	16	0	0	2	0	0	0	0	0	0	0	0	0
1	33	21	28	0	4	2	0	2	0	23	3	0	2	0	0	2	0	0	3
0	34	30	30	0	0	0	26	0	0	4	0	0	0	0	0	0	0	0	0
1	34	20	25	0	5	4	0	3	1	12	2	0	12	0	0	5	0	0	1
0	35	30	30	4	0	0	14	0	0	12	0	0	0	0	0	0	0	0	0
1	35	30	30	0	0	0	1	0	0	24	0	0	5	0	0	0	0	0	0
0	36	30	30	12	0	0	17	0	0	1	0	0	0	0	0	0	0	0	0
1	36	30	30	0	0	0	5	0	0	25	0	0	0	0	0	0	0	0	0
0	37	30	30	15	0	0	12	0	0	3	0	0	0	0	0	0	0	0	0
1	37	30	30	1	0	0	23	0	0	5	0	0	1	0	0	0	0	0	0
0	38	30	30	13	0	0	10	0	0	7	0	0	0	0	0	0	0	0	0
1	38	30	30	0	0	0	11	0	0	19	0	0	0	0	0	0	0	0	0
0	39	30	30	16	0	0	9	0	0	3	0	0	2	0	0	0	0	0	0
1	39	30	30	0	0	0	17	0	0	12	0	0	1	0	0	0	0	0	0
0	40	30	30	17	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
1	40	30	30	0	0	0	15	0	0	15	0	0	0	0	0	0	0	0	0
