Time	scenario	period	year	week	mean.effects.Inds	mean.effects.abovemass	mean.effects.NPFT	mean.effects.eveness	mean.effects.shannon	mean.effects.simpson	mean.effects.simpsoninv	min.effects.Inds	min.effects.abovemass	min.effects.NPFT	min.effects.eveness	min.effects.shannon	min.effects.simpson	min.effects.simpsoninv	max.effects.Inds	max.effects.abovemass	max.effects.NPFT	max.effects.eveness	max.effects.shannon	max.effects.simpson	max.effects.simpsoninv
1	0	before	1	1	1	1	1	1	1	1		1	1.04840473376956	1	1	1	1		1	0.935871884865694	1	1	1	1	
1	1	before	1	1	1	0.987901021182032	1	1	1	1		1	1.03389830508474	1	1	1	1		1	0.933314520538281	1	1	1	1	
2	0	before	1	2	1	1	1	1	1	1		1	1.03455740541375	1	1	1	1		1	0.952626547776532	1	1	1	1	
2	1	before	1	2	1	0.984504291700017	1	1	1	1		1	1.00998733729261	1	1	1	1		1	0.949040967838838	1	1	1	1	
3	0	before	1	3	1	1	1	1	1	1		1	1.02754124077236	1	1	1	1		1	0.96243631975909	1	1	1	1	
3	1	before	1	3	1	0.983392717145543	1	1	1	1		1	1.00753207615628	1	1	1	1		1	0.952709048649579	1	1	1	1	
4	0	before	1	4	1	1	1	1	1	1		1	1.0208051622901	1	1	1	1		1	0.966390113436323	1	1	1	1	
4	1	before	1	4	1	0.987295447116972	1	1	1	1		1	1.00386831630765	1	1	1	1		1	0.964819517285891	1	1	1	1	
5	0	before	1	5	1	1	1	1	1	1		1	1.02064806592418	1	1	1	1		1	0.972210607244654	1	1	1	1	
5	1	before	1	5	1	0.992205785804653	1	1	1	1		1	1.00323923732331	1	1	1	1		1	0.97541947102901	1	1	1	1	
6	0	before	1	6	1	1	1	1	1	1	1	1.03386508043802	1.02339988964796	1	1.00059629022847	1.00095303119965	1.00008853679748	1.00863731694643	0.954170609706638	0.974617128453603	1	0.998777634244264	0.998046332730336	0.999826469446898	0.983328659594658
6	1	before	1	6	0.986683790725969	0.99556389869655	1	1.00004044164059	1.00006463655348	1.00000426439515	1.00038623376589	1.01257266459375	1.00883577213802	1	1.0005399245906	1.00086294384132	1.00007387513769	1.0071865878307	0.947411112613221	0.97967156779445	1	0.999335989655666	0.998938733950657	0.999898775870344	0.990166688220945
7	0	before	1	7	1	1	1	1	1	1	1	1.02444063696835	1.02032833488765	1	1.00034340572893	1.00054856794338	1.00004934283602	1.00487964454287	0.966664986897803	0.978360561387879	1	0.999341907477772	0.998948740713773	0.99990453598605	0.990640200906919
7	1	before	1	7	0.998236242693005	0.997194335793876	1	1.00010181373444	1.00016264070808	1.00001352238822	1.00132626950898	1.02025801249748	1.00870930775254	1	1.00035013352489	1.00055931515254	1.00004926384276	1.00487176402722	0.974727877444064	0.975229937286353	1	0.99977439800451	0.999639615730707	0.999966732233769	0.996704692879911
8	0	before	1	8	1	1	1	1	1	1	1	1.01232789766624	1.01725085222033	1	1.00052410079458	1.00083734339	1.00007498203973	1.00740918518681	0.983253588516746	0.981537874669808	1	0.999334460716836	0.998936683696516	0.999910680089377	0.991260373735413
8	1	before	1	8	1.00634703642222	1.0008403196065	1	1.00011039071134	1.00017636861729	1.00001502579779	1.00147931445782	1.02585196758129	1.01054967392008	1	1.00048206191224	1.00077017886628	1.00007170123427	1.00708159978168	0.986695635191876	0.978519436951658	1	0.999440726191137	0.999106461520576	0.999915796466414	0.991753574006562
9	0	before	1	9	1	1	1	1	1	1	1	1.01565501843294	1.01242934448355	1	1.00075541050844	1.00120743529174	1.00010116568869	1.00991175178652	0.981255516901189	0.983647551496127	1	0.998747324452028	0.9979977447377	0.999855205764535	0.986056346189041
9	1	before	1	9	1.00275196012254	0.999781414932297	1	1.00008406712292	1.00013437145758	1.00000695227906	1.0006769200913	1.01666753206293	1.01021055283253	1	1.00053560979497	1.00085610957463	1.0000794553836	1.00775331753153	0.982891115841944	0.97888556982331	1	0.999104047496586	0.998567924776982	0.999857711265444	0.986287786988472
10	0	before	1	10	1	1	1	1	1	1	1	1.01517317207257	1.01450257000773	1	1.00081448393484	1.00130253090722	1.00011559104363	1.01116568504945	0.97086311159978	0.984001813772139	1	0.998586614379041	0.997739699487784	0.999824191740042	0.983301071597169
10	1	before	1	10	1.00291368884002	1.00319826498376	1	1.00007857097652	1.00012565149655	1.00000753950049	1.00072139941029	1.01767454645409	1.0151003690191	1	1.0008407403922	1.00134452049811	1.00012025955642	1.01162179355032	0.984002199010446	0.985269127390644	1	0.998789512666917	0.998064176472133	0.999817818474121	0.982711341276474
11	0	before	1	11	1	1	1	1	1	1	1	1.01575436982521	1.0139743158358	1	1.00116304168403	1.00186094863695	1.00016036282914	1.01535492944573	0.97679967801288	0.984327276604246	1	0.998622603737802	0.997796068935557	0.999822304848826	0.983304795209463
11	1	before	1	11	1.00724471021159	1.00492202736816	1	1.00008802765921	1.00014085045675	1.00000634753739	1.00059616407667	1.02642019319227	1.01485205327285	1	1.00089266529684	1.00142832736798	1.00013645863915	1.01301764173094	0.978869595216191	0.985220192124346	1	0.998615824149461	0.997785221116554	0.99978306228208	0.979717824067683
12	0	before	1	12	1	1	1	1	1	1	1	1.01814995247148	1.01554898166322	1	1.0017808063522	1.00285089527949	1.00023865225094	1.02273456102798	0.974661359315589	0.983945208156255	1	0.998449302995952	0.99751748708483	0.999770319164655	0.978778987145846
12	1	before	1	12	1.01110979087452	1.00624899178053	1	1.00014380526408	1.00023021804029	1.0000113455162	1.00101561926472	1.0327352661597	1.01940437987336	1	1.00095944404561	1.0015359752604	1.00013880583098	1.0130268215863	0.981998574144487	0.99086966911786	1	0.998382019906468	0.997409773496565	0.999740930965341	0.976167304301331
13	0	before	1	13	1	1	1	1	1	1	1	1.02024487816705	1.01438052937089	1	1.00173048092213	1.00277155138614	1.00022972633512	1.02161808468015	0.973966541398958	0.984464843096694	1	0.998452352551194	0.997521276093176	0.99978101697585	0.979926501633941
13	1	before	1	13	1.0093950781913	1.00591151697368	1	1.00004778229204	1.0000765284818	1.00000049037095	1.00002622099696	1.02436658988968	1.01576797110765	1	1.00121362771396	1.00194375536296	1.00017915580758	1.01673846678557	0.985270941932355	0.992846020312409	1	0.998331403268974	0.997327562804286	0.99972190122829	0.97472697749065
14	0	before	1	14	1	1	1	1	1	1	1	1.01893006648609	1.01704944503776	1	1.00192119554247	1.0030784601196	1.00025918331023	1.02410914399114	0.96983501600591	0.984931078211908	1	0.998315358647934	0.997300586481945	0.999744259821147	0.976855400208711
14	1	before	1	14	1.00837232208816	1.0044544012347	1	1.00021888428446	1.00035073292938	1.00002938366418	1.00261948038021	1.02456291553804	1.01414751932819	1	1.00141842872735	1.00227284322347	1.00020107736231	1.01854769314432	0.983101452844127	0.995683817027964	1	0.998387565152811	0.997416287794345	0.999737278843493	0.976275032687112
15	0	before	1	15	1	1	1	1	1	1	1	1.01879816057669	1.01372042384744	1	1.00198797096256	1.00318685493124	1.00026864351691	1.02466182952987	0.966971165796669	0.981466649077343	1	0.998083059522217	0.996927011847982	0.999714047991275	0.974456328429436
15	1	before	1	15	1.00888640318171	1.00470802845201	1	1.00039477794027	1.00063285633915	1.00005815347627	1.00515475524414	1.02696992294308	1.01555118850736	1	1.0017140229878	1.0027476973828	1.00024843154333	1.02274516818843	0.978591846880438	0.994943129868175	1	0.998448980513564	0.997513608502399	0.99974386283186	0.977057691927303
16	0	before	1	16	1	1	1	1	1	1	1	1.01752343799157	1.01316069056968	1	1.00221236804185	1.0035476282744	1.00029280734726	1.02672945366991	0.965834014975146	0.979804447323834	1	0.997671363589623	0.996265930345234	0.999638361549406	0.968223886347132
16	1	before	1	16	1.01113697854401	1.00606268143816	1	1.00031647752087	1.0005074854545	1.00004962209027	1.00430746747886	1.03083118353992	1.01681391350105	1	1.00154674431101	1.00248027170308	1.00023443270493	1.02121255372761	0.972975523815516	0.991094645689001	1	0.998691250311645	0.997901363014341	0.999771889781075	0.979626409490223
17	0	before	1	17	1	1	1	1	1	1	1	1.02201655189842	1.01477249870363	1	1.00205536507064	1.00329668732771	1.00026592243501	1.02400279279658	0.968601933160654	0.977384492565306	1	0.997452933330736	0.995914651595798	0.999582519589214	0.963809995938935
17	1	before	1	17	1.0105502558595	1.00408534669282	1	1.00025266802256	1.00040526497214	1.00003864380415	1.0033320809254	1.03086107776866	1.01538054828305	1	1.00130473928185	1.00209272674615	1.00020591498444	1.01841101077485	0.975361677932908	0.986399731921333	1	0.998091756679987	0.996939287496351	0.99968437038005	0.972490498400626
18	0	before	1	18	1	1	1	1	1	1	1	1.0221941195068	1.01461739657503	1	1.00216224681243	1.00346889045548	1.0002980297465	1.02681993186305	0.96952260512172	0.979480367889177	1	0.997608783088764	0.996163773037978	0.999615160626768	0.966688364049758
18	1	before	1	18	1.00733480872589	1.00152425526564	1	1.00020837419423	1.00033429451688	1.00004180549471	1.00360696008378	1.02560859943092	1.01344425361051	1	1.00144235664633	1.00231397136308	1.00022900222892	1.02041536985166	0.967372747391717	0.98408441917644	1	0.997924761812365	0.996670697396537	0.999668031453923	0.971182347040891
19	0	before	1	19	1	1	1	1	1	1	1	1.01870521843891	1.01330353641304	1	1.00186279927581	1.00298943496233	1.0002703910365	1.02398641558509	0.969152241455837	0.980101741127843	1	0.997908458799442	0.996643478193651	0.999665199464355	0.971046501964978
19	1	before	1	19	1.00760890241583	1.00077966671439	1	1.00023221619777	1.00037266238475	1.00004353758591	1.00377296841918	1.02431678397058	1.01168827773386	1	1.00137969363933	1.00221414322858	1.00022768388512	1.0200615965473	0.971815357301376	0.981260534228071	1	0.997846198139554	0.996543561795859	0.999610934306341	0.966757368970723
20	0	before	1	20	1	1	1	1	1	1	1	1.02345686860339	1.01619275454362	1	1.00218370900593	1.00350564667251	1.00029860570293	1.02631731973711	0.968342762697858	0.982629599108023	1	0.998008986807471	0.996803700147616	0.999681619015015	0.97266499002134
20	1	before	1	20	1.00642044370987	0.999359967834483	1	1.00027608237096	1.00044321255371	1.00005038640846	1.0044176514277	1.02345686860339	1.01063369701221	1	1.00182810215439	1.0029347684225	1.00029520483651	1.02600308211257	0.977369525141441	0.983355510319506	1	0.997634335408187	0.996202248476316	0.999574236843437	0.964185489730693
21	0	before	1	21	1	1	1	1	1	1	1	1.02047475846183	1.01632969054107	1	1.00237061426253	1.00380671052965	1.00032564335812	1.02855376744318	0.966088681297588	0.980473348900653	1	0.997865767782353	0.99657286957897	0.999617541612358	0.967560856174786
21	1	before	1	21	1.00844583786551	1.00137891117842	1	1.00031135382663	1.00049996910463	1.00004596503407	1.00397381544479	1.02831275193551	1.00864249573227	1	1.00164037163631	1.0026340936521	1.00025748204492	1.02233549179502	0.981124832042997	0.983105102050107	1	0.997365333046461	0.995769276093248	0.9994775576452	0.956537507093905
