scenario	year	period	mean.effects.Inds	mean.effects.abovemass	mean.effects.NPFT	mean.effects.eveness	mean.effects.shannon	mean.effects.simpson	mean.effects.simpsoninv	min.effects.Inds	min.effects.abovemass	min.effects.NPFT	min.effects.eveness	min.effects.shannon	min.effects.simpson	min.effects.simpsoninv	max.effects.Inds	max.effects.abovemass	max.effects.NPFT	max.effects.eveness	max.effects.shannon	max.effects.simpson	max.effects.simpsoninv
0	1	before	1	1	1	1	1	1	1	1.03037974683544	1.02054831547673	1	1.00163303060804	1.00262217198688	1.00025106440323	1.0220248618204	0.954733822123048	0.976250925748971	1	0.997298803882225	0.995671792514595	0.999544538173111	0.961891327494887
1	1	before	0.992536931046161	0.995851577646867	1	0.99981263728392	0.999542631668465	0.999952046525094	0.996181491516808	1.02635597158601	1.01186307543206	1	1.00168585116494	1.00261402331158	1.00026939732608	1.02353401878251	0.947779006811434	0.971663658549454	1	0.994878554277708	0.991775797310432	0.999130337344243	0.929907386723883
0	2	before	1	1	1	1	1	1	1	1.09276019798375	1.07953024771284	1	1.00658827605766	1.01432665486803	1.0017409674762	1.08786028230406	0.863152652040562	0.722210344397684	1	0.991010768274068	0.976076979220854	0.996709091945695	0.851422942061381
1	2	before	1.01716839989235	1.00830371245531	1.00003159557662	0.999126311931512	0.998782004083266	0.999798614012915	0.988564905999022	1.14002965525723	1.11064216546358	1	1.00548514702694	1.01478863295306	1.00140768809403	1.07565149501432	0.834119203789748	0.704007152500137	1	0.986925860058835	0.967439099281132	0.995985042584934	0.818961603856776
0	3	before	1	1	1	1	1	1	1	1.11141839956111	1.07452761002544	1.00189035916824	1.0086676045635	1.02110678857953	1.00270296062254	1.11173244862166	0.849124169252967	0.790377252272466	0.984848484848485	0.988747246740266	0.97682287547168	0.996152306196045	0.856913116426693
1	3	before	1.00797961246402	1.01479095768243	0.999556997255551	0.999505801614668	0.997967072923034	0.99954517544613	0.983464267213079	1.12548481629196	1.10457854928874	1.00189035916824	1.00870039685315	1.02068823325604	1.00223154144786	1.10496869508869	0.835468683325533	0.859896749417787	0.984848484848485	0.982804814359874	0.968370973089145	0.994869574900695	0.824654163836797
0	4	before	1	1	1	1	1	1	1	1.11480737531592	1.08094718501733	1.00189035916824	1.01554696500572	1.02346100433583	1.00390307371037	1.1201817101712	0.838103852903539	0.819020906021062	0.99090118920257	0.979090707003381	0.95811651443221	0.991710743500554	0.808070999324817
1	4	before	1.00010768282523	0.990911921730096	1.00026872916469	0.999326408832756	1.00225143033854	0.999815717104692	0.998533211505472	1.13747669431172	1.07600834905883	1.00189035916824	1.01458180732608	1.02975675689221	1.00419275440763	1.12813940270614	0.839652369513322	0.676227586308437	0.991080277502478	0.960039164527829	0.921555699820198	0.984717597608901	0.693564523915344
0	5	before	1	1	1	1	1	1	1	1.12980278152762	1.07566492483186	1.00569259962049	1.01581955858678	1.02287812524782	1.00405125506967	1.10087342339551	0.807141021410531	0.840141037783553	0.983935742971888	0.976893563452913	0.960445438840203	0.992448902506131	0.848025443810026
1	5	before	0.978860506642234	1.00003940275954	1.0000494253682	0.999025914244247	1.00707401301875	0.999939682544431	1.00415849548181	1.12687192154495	1.08267263787064	1.00569259962049	1.01643042159851	1.04345284206835	1.00493221969471	1.11888536528526	0.764891649059032	0.872329169545832	0.98391674550615	0.95650881342452	0.942458656501745	0.986279716896821	0.7543640778329
0	6	before	1	1	1	1	1	1	1	1.11440883737548	1.06587063488797	1.00283822138127	1.01861295619163	1.02951640345273	1.00441270084151	1.09028251865197	0.823291957174947	0.833434105934724	0.98391674550615	0.977961315581207	0.956029085783865	0.993438636900817	0.881012737390864
1	6	before	0.97915795954764	0.989306229950662	1.00010428721931	0.999285235870491	1.01206422198093	1.00097995094992	1.025467124985	1.12444016482703	1.0679811834311	1.00283822138127	1.0188706750218	1.06334880433637	1.00855434109268	1.19859951485535	0.799505646203484	0.784562590315181	0.98391674550615	0.96743007110119	0.960665325690991	0.990652655722779	0.842011500806978
0	7	before	1	1	1	1	1	1	1	1.10324712411082	1.078665317183	1.00283822138127	1.0153416838038	1.03456306838039	1.00519651572479	1.10077144638341	0.849618383568023	0.787721540776755	0.985781990521327	0.976358391672297	0.951693110769526	0.992316341787113	0.875018863365726
1	7	before	0.971185596703447	0.993749124694976	0.999828738489406	1.00090446984743	1.01541825837213	1.00207915922985	1.04260563013733	1.08525484361522	1.07201591851019	1.00283822138127	1.01823299727374	1.05339837647864	1.00756269668547	1.15544922040545	0.773211810318425	0.767345381417466	0.985735359395948	0.980604440006653	0.969443468957329	0.994108931010814	0.899852495753859
0	8	before	1	1	1	1	1	1	1	1.13516872716513	1.07789521762703	1.00378787878788	1.01945636586834	1.03688230173553	1.00539663965382	1.10114226861767	0.795373516498907	0.764165112177042	0.987654320987654	0.973290832814521	0.945048565563471	0.991699590067918	0.869003537009145
1	8	before	0.99215186019358	1.00077842035968	0.999604259437628	0.994103785742031	1.00458075518322	0.999784650403804	1.00105966298213	1.08990856010646	1.09014613196325	1.00378787878788	1.01609808663062	1.04881813877542	1.00682144323502	1.12991407789025	0.818612345418925	0.687357103989903	0.984848484848485	0.94708103248129	0.922594114216449	0.982673990406215	0.763623577175553
0	9	before	1	1	1	1	1	1	1	1.10735143597365	1.08183157547293	1.00378787878788	1.02331943469431	1.02884155471625	1.0039860696062	1.06905687741655	0.837051711865054	0.806778146347703	0.982963561943625	0.971667301179879	0.943273772295992	0.992239911132159	0.878287013032451
1	9	before	1.01854713257631	1.01640591114881	1.00019390189388	0.997986374219311	1.00013349998271	0.998964975172947	0.989456278085892	1.15728170398468	1.11637451535382	1.00378787878788	1.02595569633097	1.04532695336548	1.0072711887355	1.14222316436	0.840983213429257	0.911352120253591	0.984848484848485	0.959143169495116	0.930073161666824	0.984250709334677	0.785298977710879
0	10	before	1	1	1	1	1	1	1	1.11350236685389	1.07087754729265	1.00856327307326	1.02559002368683	1.0292010246022	1.00433533274654	1.07440650099761	0.83891801598014	0.887076186267162	0.971428571428571	0.974786230759008	0.948946475098862	0.993303301218506	0.89710106923986
1	10	before	1.01592602297325	0.999084356970889	1.00019327029611	0.999319007393288	1.00113727143207	0.99933042007418	0.992893232289492	1.13800297392514	1.07904188362389	1.00856327307326	1.02009554010344	1.03686258293507	1.00458517733456	1.07969736051136	0.861168500474184	0.878625003760691	0.986717267552182	0.968105633828681	0.941795694499342	0.986986588003214	0.814677955025753
0	11	before	1	1	1	1	1	1	1	1.11513169181102	1.06310476760005	1.00473933649289	1.0214759719504	1.03418867987132	1.00480962982678	1.08006114579185	0.835211530023477	0.898584853718171	0.985781990521327	0.971005498842153	0.96263880760027	0.99405683794886	0.910853524250836
1	11	before	0.998662056828337	0.980792874426495	1.00018930806355	0.994342590202066	1.00223865852772	0.999258454308974	0.991979018091086	1.09369145917728	1.0610570259574	1.00473933649289	1.0186462018008	1.03431954996956	1.00494774174346	1.08414807060576	0.854985751860212	0.763963866307615	0.981132075471698	0.949194304030076	0.9307222890588	0.981625258604394	0.767915831116565
0	12	before	1	1	1	1	1	1	1	1.10067112527216	1.07563726596266	1.00760456273764	1.02476736375606	1.03295333663502	1.0049221423142	1.07660714496134	0.860966860346187	0.824075981047492	0.972354623450906	0.949989358747122	0.947263700381268	0.984279128711503	0.801279255603531
1	12	before	1.01604939762181	1.0035529794496	1.00041001984115	0.998744892352387	1.00486166149556	1.00033153582633	1.00544833148991	1.14292499362429	1.0817422584872	1.00760456273764	1.0171967061969	1.03560138181085	1.00563596751984	1.09472678119027	0.838108013010142	0.845640543440566	0.987654320987654	0.957591615234146	0.943515935852454	0.985761931032472	0.812801476191707
0	13	before	1	1	1	1	1	1	1	1.11986797717812	1.09824404247525	1.00569259962049	1.02626739313547	1.03332215896383	1.0063754518635	1.10362463801112	0.813169159679828	0.726234743596434	0.984615384615385	0.959373243127288	0.956061548484842	0.986114982668133	0.816372185399066
1	13	before	1.02397845591987	1.00291399215306	1.00064806910465	1.00630818107398	1.00230005068954	1.00100396840763	1.01349264517575	1.13980328234961	1.08364075373066	1.00952380952381	1.0265382910852	1.03205738898444	1.0057528150385	1.08782684292801	0.849801485184913	0.847252260022943	0.984615384615385	0.968064425482259	0.93706768267105	0.986153888448704	0.823386150792815
0	14	before	1	1	1	1	1	1	1	1.16306714313976	1.11032600442532	1.00473933649289	1.02877524351709	1.03195728332316	1.00603314734936	1.08867026402923	0.789990587869731	0.669442270531265	0.983606557377049	0.918455132872195	0.923130996318837	0.973060092083813	0.707329930761945
