PFT	scenario	year	period	mean.effects.Inds	mean.effects.seedlings	mean.effects.seeds	mean.effects.cover	mean.effects.shootmass	min.effects.Inds	min.effects.seedlings	min.effects.seeds	min.effects.cover	min.effects.shootmass	max.effects.Inds	max.effects.seedlings	max.effects.seeds	max.effects.cover	max.effects.shootmass
MECIcl3plb	0	1	before	1	1	1	1	1	1.20418848167539	1.53846153846154	1.35922330097087	1.00304579859478	1.19070283722717	0.702803514376996	0.456023564064801	0.58252427184466	0.995004824508357	0.677688543565794
MECIcl3plb	1	1	before	0.966185701171828	1.00582727226329	0.948402523818052	0.999181437931199	0.950477032435893	1.17647058823529	1.66666666666667	1.35922330097087	1.00247820473269	1.19302366382102	0.693841094136416	0.54054054054054	0.388349514563107	0.993723265851074	0.617031554729419
MECIcl3plb	0	2	before	1	1	1	1	1	1.44927536231884	1.66666666666667	1.36678614097969	1.00791511057785	1.49992242366432	0.546023266439391	0.499420598772574	0.528029455937686	0.986998710281691	0.497507178357732
MECIcl3plb	1	2	before	0.8974401678527	0.900850197777178	0.926044191977746	0.997674590096553	0.868018768091958	1.43690078037905	1.49200252794517	1.20430107526882	1.00614628324759	1.50134026577048	0.31865430676111	0.212765957446809	0.222222222222222	0.979682404446361	0.189565151046272
MECIcl3plb	0	3	before	1	1	1	1	1	1.61797752808989	1.66757907542579	1.71535964462669	1.01174108296063	1.62839628495871	0.247136924824491	0.303030303030303	0.373088685015291	0.9865675758205	0.193499115557688
MECIcl3plb	1	3	before	0.863019017005145	0.880574733379472	0.863857026605978	0.997289218341508	0.864021944435581	1.4577287218986	1.60583941605839	1.6196822142491	1.00920421132468	1.58052313536768	0.118995405179616	0.0856013538244161	0.110033493519732	0.979112233953902	0.0495367494735318
MECIcl3plb	0	4	before	1	1	1	1	1	1.79078560455507	1.81818181818182	1.90917595033591	1.01287860313744	1.82091515176331	0.206159132963256	0.203893458898076	0.197199199771363	0.982415990198428	0.157501021450513
MECIcl3plb	1	4	before	0.74226795678691	0.799993105580592	0.734188857924385	0.994976786164153	0.722082219003295	1.44790342045796	1.49420609297689	1.58330951700486	1.00739671273878	1.49489964279596	0.0510136752735639	0.0482096053037312	0.00340164980015307	0.97600773418922	7.51882921603498e-05
MECIcl3plb	0	5	before	1	1	1	1	1	1.90506456820017	1.91597513094409	2.05325942884685	1.0154556270228	1.93012577489693	0.0628444029051541	0.109789702426456	0.0265092179780697	0.982545824817598	0.000108213954262559
MECIcl3plb	1	5	before	0.616806318195	0.738552111452154	0.574370672234835	0.993708891709749	0.59708225835191	1.25858388508991	1.50546448087432	1.44836727316544	1.00355763579107	1.19977739395116	0.0449782409528173	0.0231033340524669	0.0049248953459739	0.979838307517628	8.16108000661952e-05
