Herbicide scenario	PFT	year	mean.10	min.10	max.10	mean.10_20	min.10_20	max.10_20	mean.20_30	min.20_30	max.20_30	mean.30_40	min.30_40	max.30_40	mean.40_50	min.40_50	max.40_50	mean.50	min.50	max.50
0	MECIcl3plb	1	30	0	0	0	0	1	0	0	21	0	0	8	0	0	0	0	0	0
1	MECIcl3plb	1	30	0	0	0	0	0	0	0	4	0	0	25	0	0	1	0	0	0
0	MECIcl3plb	2	30	0	0	0	0	0	0	0	1	0	0	5	0	0	18	0	0	6
1	MECIcl3plb	2	11	0	0	11	0	0	8	0	0	0	0	5	0	0	6	0	0	19
0	MECIcl3plb	3	30	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	29
1	MECIcl3plb	3	5	0	0	24	0	0	1	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3plb	4	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	4	4	0	0	2	0	0	9	0	0	11	0	0	4	0	0	0	0	30
0	MECIcl3plb	5	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	5	0	1	0	0	0	0	0	0	0	13	0	0	17	0	0	0	0	30
0	MECIcl3plb	6	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	6	0	0	0	0	0	0	13	0	0	15	0	0	2	0	0	0	0	30
0	MECIcl3plb	7	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	7	0	0	0	23	0	0	6	0	0	1	0	0	0	0	0	0	0	30
0	MECIcl3plb	8	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	8	12	0	0	14	0	0	4	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3plb	9	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	9	13	0	0	8	0	0	9	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3plb	10	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	10	0	0	0	1	0	0	22	0	0	7	0	0	0	0	0	0	0	30
0	MECIcl3plb	11	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	11	0	0	0	1	0	0	9	0	0	20	0	0	0	0	0	0	0	30
0	MECIcl3plb	12	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	12	2	0	0	5	0	0	10	0	0	11	0	0	2	0	0	0	0	30
0	MECIcl3plb	13	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	13	14	0	0	3	0	0	4	0	0	7	0	0	2	0	0	0	0	30
0	MECIcl3plb	14	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	14	12	0	0	1	0	0	10	0	0	7	0	0	0	0	0	0	0	30
0	MECIcl3plb	15	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	15	0	0	0	5	0	0	21	0	0	4	0	0	0	0	0	0	0	30
0	MECIcl3plb	16	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	16	16	0	0	4	0	0	5	0	0	5	0	0	0	0	0	0	0	30
0	MECIcl3plb	17	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	17	28	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3plb	18	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	18	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3plb	19	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	19	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3plb	20	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	20	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3plb	21	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	21	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3plb	22	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	22	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3plb	23	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	23	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3plb	24	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	24	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3plb	25	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	25	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3plb	26	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	26	4	0	0	4	0	0	3	0	0	3	0	0	6	0	0	10	0	30
0	MECIcl3plb	27	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	27	2	0	0	4	1	0	2	0	0	4	2	0	6	0	0	12	0	30
0	MECIcl3plb	28	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	28	0	3	0	0	4	0	0	2	0	0	2	0	0	5	0	30	6	30
0	MECIcl3plb	29	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	29	0	1	0	0	2	0	0	2	0	0	4	0	0	4	0	30	12	30
0	MECIcl3plb	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1	MECIcl3plb	30	0	3	0	0	2	0	0	7	0	0	2	0	0	1	0	30	0	30
