Species	PFT	plant size	growth form	resource response	grazing response	clonal type	flowering type	germination periods
Achillea millefolium	MSCAcl3p	medium	semi-rosette	competitor	avoider	long spacer, with resource sharing	late	spring and summer
Achillea ptarmica	MESTcl1p	medium	erect	stress-tolerator	tolerator	short spacer, with resource sharing	late	spring and summer
Agrostis canina	MSIIcl3p	medium	semi-rosette	intermediate	intermediate	long spacer, with resource sharing	late	spring and summer
Agrostis capillaris	MSITcl3p	medium	semi-rosette	intermediate	tolerator	long spacer, with resource sharing	late	spring and summer
Agrostis gigantea	MSCAcl3p	medium	semi-rosette	competitor	avoider	long spacer, with resource sharing	late	spring and summer
Agrostis stolonifera	MSIAcl4p	medium	semi-rosette	intermediate	avoider	long spacer, no resource sharing	late	spring and summer
Ajuga reptans	SSITcl4p	small	semi-rosette	intermediate	tolerator	long spacer, no resource sharing	late	spring and summer
Alopecurus pratensis	MECTcl3p	medium	erect	competitor	tolerator	long spacer, with resource sharing	early	spring and summer
Angelica sylvestris	LSCIcl1p	large	semi-rosette	competitor	intermediate	short spacer, with resource sharing	late	spring and summer
Anthoxanthum odoratum	MSITcl1p	medium	semi-rosette	intermediate	tolerator	short spacer, with resource sharing	late	spring and summer
Anthriscus sylvestris	LSCIcl2p	large	semi-rosette	competitor	intermediate	short spacer, no resource sharing	late	spring and summer
Arrhenatherum elatius	LSCIcl1p	large	semi-rosette	competitor	intermediate	short spacer, with resource sharing	late	spring and summer
Artemisia vulgaris	LSCTp	large	semi-rosette	competitor	tolerator	aclonal	late	spring and summer
Bellis perennis	SRIAcl4p	small	rosette	intermediate	avoider	long spacer, no resource sharing	early	spring and summer
Bistorta officinalis	MSSTcl3p	medium	semi-rosette	stress-tolerator	tolerator	long spacer, with resource sharing	late	spring and summer
Briza media	SSITcl3p	small	semi-rosette	intermediate	tolerator	long spacer, with resource sharing	late	spring and summer
Bromus racemosus	LSCTcl2	large	semi-rosette	competitor	tolerator	short spacer, no resource sharing	late	spring and summer
Caltha palustris	MSIAcl1p	medium	semi-rosette	intermediate	avoider	short spacer, with resource sharing	late	spring and summer
Calystegia sepium	LECIcl4p	large	erect	competitor	intermediate	long spacer, no resource sharing	late	spring and summer
Campanula patula	MSIIp	medium	semi-rosette	intermediate	intermediate	aclonal	late	spring and summer
Cardamine pratensis	MSCTcl2p	medium	semi-rosette	competitor	tolerator	short spacer, no resource sharing	late	spring and summer
Cardamine pratensis	SSIAcl4p	small	semi-rosette	intermediate	avoider	long spacer, no resource sharing	late	spring and summer
Carex nigra	MSSTcl3p	medium	semi-rosette	stress-tolerator	tolerator	long spacer, with resource sharing	late	spring and summer
Carex panicea	MSITcl3p	medium	semi-rosette	intermediate	tolerator	long spacer, with resource sharing	late	spring and summer
Carum carvi	LSCTp	large	semi-rosette	competitor	tolerator	aclonal	late	spring and summer
Centaurea jacea	MSCTcl2p	medium	semi-rosette	competitor	tolerator	short spacer, no resource sharing	late	spring and summer
Centaurea jacea	SECTp	small	erect	competitor	tolerator	aclonal	early	spring and summer
Cerastium arvense	SECTcl3p	small	erect	competitor	tolerator	long spacer, with resource sharing	early	spring and summer
Cerastium fontanum	SEITcl1p	small	erect	intermediate	tolerator	short spacer, with resource sharing	late	spring and summer
Cerastium holosteoides	SECTp	small	erect	competitor	tolerator	aclonal	early	spring and summer
Cerastium holosteoides	SRIAcl2p	small	rosette	intermediate	avoider	short spacer, no resource sharing	late	spring and summer
Cirsium arvense	MECAcl4p	medium	erect	competitor	avoider	long spacer, no resource sharing	late	spring and summer
Cirsium oleraceum	LSCIcl1p	large	semi-rosette	competitor	intermediate	short spacer, with resource sharing	late	spring and summer
Cirsium palustre	LSCAp	large	semi-rosette	competitor	avoider	aclonal	late	spring and summer
Cirsium rivulare	LSSTcl3p	large	semi-rosette	stress-tolerator	tolerator	long spacer, with resource sharing	late	spring and summer
Cirsium vulgare	LSCAp	large	semi-rosette	competitor	avoider	aclonal	late	spring and summer
Colchicum autumnale	SSIAcl4p	small	semi-rosette	intermediate	avoider	long spacer, no resource sharing	late	spring and summer
Convolvulus arvensis	MECTp	medium	erect	competitor	tolerator	aclonal	late	spring and summer
Crepis biennis	MSCIp	medium	semi-rosette	competitor	intermediate	aclonal	late	spring and summer
Crepis paludosa	MSCIcl1p	medium	semi-rosette	competitor	intermediate	short spacer, with resource sharing	late	spring and summer
Crepis paludosa	MSCIcl1p	medium	semi-rosette	competitor	intermediate	short spacer, with resource sharing	late	spring and summer
Cynosorus cristatus	MSIAcl1p	medium	semi-rosette	intermediate	avoider	short spacer, with resource sharing	late	spring and summer
Dactylis glomerata	MSCTcl2p	medium	semi-rosette	competitor	tolerator	short spacer, no resource sharing	late	spring and summer
Daucus carota	LSCIp	large	semi-rosette	competitor	intermediate	aclonal	late	spring and summer
Daucus carota	MSCIp	medium	semi-rosette	competitor	intermediate	aclonal	late	spring and summer
Deschampsia cespitosa	LSCAcl1p	large	semi-rosette	competitor	avoider	short spacer, with resource sharing	late	spring and summer
