ID	Species	MaxAge	AllocSeed	LMR	m0	MaxMass	mSeed	Dist	pEstab	Gmax	SLA	palat	memo	RAR	growth	mThres	clonal	propSex	meanSpacerLength	sdSpacerLength	Resshare	AllocSpacer	mSpacer	sens	allocroot	allocshoot	EC50_biomass	slope_biomass	EC50_SEbiomass	slope_SEbiomass	EC50_survival	slope_survival	EC50_establishment	slope_establishment	EC50_sterility	slope_sterility	EC50_seednumber	slope_seednumber	FlowerWeek	DispWeek	GermPeriod	Overwintering
1	MSCAcl3lb	100	0.05	0.75	0.3	3000	0.3	0.3	0.5	60	0.5	0.25	2	1	0.25	0.2	1	1	17.5	12.5	1	0.05	70	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16	20	1	1
2	MSIIcl3lb	100	0.05	0.75	0.3	3000	0.3	0.3	0.5	40	0.75	0.5	4	1	0.25	0.2	1	1	17.5	12.5	1	0.05	70	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16	20	1	1
3	MSCAcl3lb	100	0.05	0.75	0.3	3000	0.3	0.3	0.5	60	0.5	0.25	2	1	0.25	0.2	1	1	17.5	12.5	1	0.05	70	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16	20	1	1
4	SSITcl4lb	100	0.05	0.75	0.1	1000	0.1	0.6	0.5	40	1	1	4	1	0.25	0.2	1	1	17.5	12.5	0	0.05	70	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16	20	1	1
5	LSCIcl1lb	100	0.05	0.75	1	5000	1	0.1	0.5	60	0.75	0.5	2	1	0.25	0.2	1	1	2.5	2.5	1	0.05	70	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16	20	1	1
6	LSCIcl2lb	100	0.05	0.75	1	5000	1	0.1	0.5	60	0.75	0.5	2	1	0.25	0.2	1	1	2.5	2.5	0	0.05	70	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16	20	1	1
7	LSCTlb	100	0.05	0.75	1	5000	1	0.1	0.5	60	1	1	2	1	0.25	0.2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16	20	1	1
8	MSSTcl3lb	100	0.05	0.75	0.3	3000	0.3	0.3	0.5	20	1	1	6	1	0.25	0.2	1	1	17.5	12.5	1	0.05	70	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16	20	1	1
9	LSCTcl2lb	100	0.05	0.75	1	5000	1	0.1	0.5	60	1	1	2	1	0.25	0.2	1	1	2.5	2.5	0	0.05	70	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16	20	1	1
10	LECIcl4lb	100	0.05	0.5	1	5000	1	0.1	0.5	60	0.75	0.5	2	1	0.25	0.2	1	1	17.5	12.5	0	0.05	70	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16	20	1	1
11	MSCTcl2lb	100	0.05	0.75	0.3	3000	0.3	0.3	0.5	60	1	1	2	1	0.25	0.2	1	1	2.5	2.5	0	0.05	70	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16	20	1	1
12	MSSTcl3lb	100	0.05	0.75	0.3	3000	0.3	0.3	0.5	20	1	1	6	1	0.25	0.2	1	1	17.5	12.5	1	0.05	70	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16	20	1	1
13	MSCTcl1lb	100	0.05	0.75	0.3	3000	0.3	0.3	0.5	60	1	1	2	1	0.25	0.2	1	1	2.5	2.5	1	0.05	70	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16	20	1	1
